code,name,price_eur,status
2428 Shock Me Magenta -HTF,2428 Shock Me Magenta -HTF,7.41,active
2429 2 Blue 2 B Tru -HTF,2429 2 Blue 2 B Tru -HTF,7.41,active
2430 Alexandrite -HTF,2430 Alexandrite -HTF,7.41,active
2431 Lazulite -HTF,2431 Lazulite -HTF,7.41,active
2432 Superb Milky -HTF,2432 Superb Milky -HTF,7.41,active
2433 Glitzy Marshmallow -HTF,2433 Glitzy Marshmallow -HTF,7.41,active
2434 SunTouched Shimmer -HTF,2434 SunTouched Shimmer -HTF,7.41,active
2435 Shower Me in Diamonds -HTF,2435 Shower Me in Diamonds -HTF,7.41,active
2436 Lava Stone -HTF,2436 Lava Stone -HTF,7.41,active
2437 Sangiovese -HTF,2437 Sangiovese -HTF,7.41,active
2438 Midnight Allnight -HTF,2438 Midnight Allnight -HTF,7.41,active
2439 Irish Cream -HTF,2439 Irish Cream -HTF,7.41,active
2440 Peacko Peacko -HTF,2440 Peacko Peacko -HTF,7.41,active
