sku,colorFamily,imageUrl
GIUP-220,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-220.jpg
GIUP-221,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-221.jpg
GIUP-222,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-222.jpg
GIUP-223,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-223.jpg
GIUP-224,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-224.jpg
GIUP-225,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-225.jpg
GIUP-226,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-226.jpg
GIUP-227,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-227.jpg
GIUP-250,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-250.jpg
GIUP-251,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-251.jpg
GIUP-252,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-252.jpg
GIUP-253,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-253.jpg
GIUP-254,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-254.jpg
GIUP-255,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-255.jpg
GIUP-256,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-256.jpg
GIUP-257,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-257.jpg
GIUP-258,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-258.jpg
GIUP-320,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-320.jpg
GIUP-322,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-322.jpg
GIUP-324,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-324.jpg
GIUP-325,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-325.jpg
GIUP-326,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-326.jpg
GIUP-327,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-327.jpg
GIUP-328,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-328.jpg
GIUP-329,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-329.jpg
GIUP-330,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-330.jpg
GIUP-331,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-331.webp
GIUP-500,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-500.jpg
GIUP-501,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-501.jpg
GIUP-502,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-502.jpg
GIUP-503,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-503.jpg
GIUP-600,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-600.jpg
GIUP-601,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-601.jpg
GIUP-602,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-602.jpg
GIUP-603,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-603.jpg
GIUP-604,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-604.webp
GIUP-701,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-701.jpg
GIUP-702,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-702.jpg
GIUP-703,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-703.jpg
GIUP-704,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-704.jpg
GIUP-705,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-705.jpg
GIUP-706,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-706.jpg
GIUP-707,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-707.jpg
GIUP-708,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-708.jpg
GIUP-900,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-900.jpg
GIUP-901,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-901.jpg
GIUP-902,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-902.jpg
GIUP-903,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-903.jpg
GIUP-904,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-904.jpg
GIUP-1801,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1801.jpg
GIUP-1802,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1802.jpg
GIUP-1803,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1803.jpg
GIUP-1804,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1804.jpg
GIUP-1805,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1805.jpg
